Age,Job,Credit amount,Duration,Credit_to_Duration,High_Risk_Purpose,Sex_male,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_none,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_none,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_Group_26-35,Age_Group_36-50,Age_Group_50+
59,2,14846,60,247.43333333333334,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
73,3,9353,32,292.28125,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
62,2,14144,28,505.14285714285717,1,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
51,2,3334,48,69.45833333333333,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
23,1,17683,21,842.047619047619,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
62,3,2535,46,55.108695652173914,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
59,1,3259,25,130.36,1,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
44,0,1456,37,39.351351351351354,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
53,0,13541,28,483.60714285714283,0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
68,3,5364,71,75.54929577464789,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
71,3,17696,24,737.3333333333334,0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
49,0,909,59,15.40677966101695,1,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
30,1,3032,47,64.51063829787235,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
45,3,8714,47,185.40425531914894,0,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
34,1,18067,22,821.2272727272727,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
33,0,16120,19,848.421052631579,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
49,3,15343,25,613.72,0,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
56,1,10278,62,165.7741935483871,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
26,2,13654,18,758.5555555555555,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
39,1,19203,35,548.6571428571428,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
64,3,8436,12,703.0,0,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
47,1,298,13,22.923076923076923,1,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
57,0,4078,64,63.71875,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
55,1,4964,7,709.1428571428571,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
47,1,9410,67,140.44776119402985,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
52,3,12503,68,183.86764705882354,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
74,3,19293,15,1286.2,0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
66,1,2731,30,91.03333333333333,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
70,2,10043,17,590.7647058823529,0,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
74,2,7361,21,350.5238095238095,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
42,1,13263,19,698.0526315789474,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
43,2,11263,10,1126.3,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
70,1,12980,63,206.03174603174602,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
56,2,12352,4,3088.0,1,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
58,2,6347,48,132.22916666666666,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
46,1,1148,65,17.661538461538463,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
46,1,3428,66,51.93939393939394,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
34,0,15255,60,254.25,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
27,1,11153,26,428.96153846153845,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51,0,3219,19,169.42105263157896,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
65,2,6257,33,189.6060606060606,1,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
50,1,4638,16,289.875,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
36,1,7869,38,207.07894736842104,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
21,2,16442,69,238.28985507246378,0,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
31,1,12921,19,680.0526315789474,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
50,1,9657,42,229.92857142857142,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
70,1,14788,18,821.5555555555555,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
19,0,16171,5,3234.2,0,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
41,0,1266,28,45.214285714285715,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
22,1,19356,12,1613.0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
49,1,6032,25,241.28,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
38,0,13547,46,294.5,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
43,1,6428,28,229.57142857142858,0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
28,1,17193,59,291.40677966101697,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
62,1,9819,31,316.741935483871,0,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
54,1,15873,49,323.9387755102041,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
43,2,3512,17,206.58823529411765,0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
34,0,12005,40,300.125,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
48,1,11223,63,178.14285714285714,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
59,0,13654,21,650.1904761904761,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
53,1,10839,35,309.6857142857143,1,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
60,1,8684,67,129.61194029850745,0,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
38,2,11216,31,361.80645161290323,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
52,2,5844,28,208.71428571428572,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
53,1,5834,19,307.05263157894734,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
42,2,12407,51,243.27450980392157,0,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
71,0,4375,15,291.6666666666667,0,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
37,1,6377,25,255.08,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
24,2,14578,50,291.56,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
44,0,13752,39,352.61538461538464,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
58,2,2571,38,67.65789473684211,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
36,0,8353,69,121.05797101449275,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
45,1,17230,63,273.4920634920635,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50,2,17138,7,2448.285714285714,0,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
32,1,9998,65,153.8153846153846,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
28,2,7185,65,110.53846153846153,1,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
42,1,10530,8,1316.25,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
58,0,10482,35,299.48571428571427,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
45,2,4262,50,85.24,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
68,0,19068,65,293.3538461538462,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,1,4737,53,89.37735849056604,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
55,1,17351,43,403.51162790697674,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
59,0,16089,16,1005.5625,0,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
45,2,8574,51,168.11764705882354,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
