Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
56,female,2,rent,moderate,rich,4625,53,car,good
69,female,0,rent,little,little,17026,15,radio/TV,bad
46,female,1,own,little,nan,14531,10,furniture,good
32,female,1,rent,little,little,3767,43,education,good
60,male,1,own,moderate,moderate,16444,45,furniture,good
25,female,1,own,rich,nan,7751,70,radio/TV,good
38,male,1,rent,quite rich,moderate,8925,53,repairs,good
56,male,2,own,little,nan,11299,44,car,bad
36,male,1,own,little,moderate,5173,27,car,good
40,male,1,own,rich,little,16561,16,education,good
28,male,3,rent,little,moderate,336,37,education,good
28,male,1,own,little,rich,1893,6,repairs,good
41,male,1,own,little,nan,9160,6,vacation/others,good
70,female,1,rent,moderate,moderate,2479,27,furniture,good
53,male,2,rent,little,little,2719,38,furniture,good
57,female,1,rent,little,little,15244,23,repairs,good
41,male,2,own,moderate,little,6846,47,domestic appliances,good
20,male,0,own,little,little,2498,51,furniture,bad
39,male,1,own,little,little,17216,46,car,bad
70,male,1,rent,quite rich,rich,4369,71,radio/TV,good
19,female,2,rent,rich,little,1122,58,car,good
41,female,2,free,little,moderate,2633,29,repairs,good
61,female,2,own,little,little,3971,34,business,good
47,male,2,own,little,rich,14472,57,repairs,bad
55,male,1,own,moderate,little,14137,59,car,good
19,male,2,own,rich,little,12678,59,domestic appliances,bad
38,female,1,own,little,moderate,14573,56,radio/TV,bad
50,male,2,free,moderate,little,7147,64,car,good
29,female,1,own,little,little,11760,37,furniture,bad
39,female,0,own,moderate,rich,1344,49,radio/TV,good
61,male,1,rent,little,little,4737,53,radio/TV,bad
42,male,1,own,nan,nan,14564,14,car,good
66,female,1,rent,moderate,moderate,18929,21,car,good
44,female,2,rent,little,moderate,9570,34,domestic appliances,good
59,female,0,own,rich,little,15519,65,business,bad
45,male,1,rent,little,moderate,18939,26,business,good
33,male,2,own,little,moderate,1904,56,business,good
32,male,1,own,nan,rich,11517,65,business,good
64,male,2,own,little,little,12876,20,repairs,bad
68,male,1,own,nan,moderate,12211,44,business,good
61,male,3,own,moderate,nan,7019,11,furniture,good
72,female,1,own,nan,little,8123,34,radio/TV,good
69,female,0,own,quite rich,nan,2352,52,radio/TV,bad
74,female,1,own,little,little,4102,60,radio/TV,bad
20,male,0,rent,rich,little,19538,51,car,bad
54,female,3,free,little,little,1703,56,domestic appliances,bad
68,male,0,rent,moderate,little,19068,65,business,bad
24,male,1,own,moderate,little,9622,53,furniture,good
38,female,1,rent,quite rich,little,1036,58,car,good
26,male,2,rent,quite rich,little,12814,12,car,good
56,female,1,own,rich,little,3469,35,car,good
35,female,3,own,rich,little,15445,60,car,good
21,male,0,rent,rich,little,7508,8,education,bad
42,female,0,rent,moderate,nan,6949,68,car,good
31,female,1,free,rich,nan,2023,53,radio/TV,good
67,female,2,rent,quite rich,rich,18676,66,furniture,good
26,female,2,rent,rich,little,12014,61,domestic appliances,bad
43,male,0,own,nan,little,14756,60,radio/TV,bad
70,female,0,own,little,little,16209,12,education,bad
19,female,2,free,little,little,1875,29,radio/TV,good
37,female,0,own,rich,nan,1721,66,repairs,good
45,male,0,own,little,rich,17980,69,education,bad
64,female,0,own,moderate,little,9556,37,radio/TV,bad
24,male,0,rent,rich,little,263,9,radio/TV,bad
61,female,1,own,little,rich,2076,65,vacation/others,good
25,female,0,rent,nan,rich,4402,44,education,good
64,female,1,own,nan,little,2811,57,business,good
52,male,2,own,little,little,12091,39,car,bad
31,male,1,free,quite rich,moderate,10834,5,business,good
34,male,2,own,little,little,2152,30,radio/TV,good
53,male,0,own,quite rich,rich,11600,21,furniture,bad
67,male,2,own,moderate,little,8846,14,radio/TV,good
57,male,1,own,rich,little,8166,47,radio/TV,good
21,female,2,own,little,little,17492,7,car,bad
19,male,0,own,moderate,little,14637,46,furniture,bad
23,female,2,free,quite rich,moderate,10439,42,education,bad
71,male,1,own,little,little,16842,62,car,bad
59,male,1,own,rich,little,14447,28,business,good
21,male,3,own,nan,rich,18824,58,car,bad
71,female,1,own,moderate,little,8359,68,radio/TV,good
46,male,1,own,quite rich,little,2072,28,furniture,good
35,male,3,rent,moderate,little,7991,40,car,good
43,female,1,free,moderate,little,795,57,business,good
61,female,0,own,little,moderate,1377,31,radio/TV,good
51,female,3,rent,moderate,little,13605,55,education,bad
27,female,1,own,moderate,moderate,16880,67,furniture,good
53,male,2,rent,moderate,moderate,6694,41,domestic appliances,good
31,female,0,own,little,moderate,869,47,car,bad
48,male,2,own,little,nan,2208,65,car,good
65,male,1,own,quite rich,little,6931,71,business,good
32,female,3,own,little,moderate,9671,41,vacation/others,good
25,male,1,rent,moderate,rich,8798,53,business,good
31,female,0,own,little,nan,2628,64,car,bad
40,male,2,own,moderate,moderate,19985,31,furniture,good
74,female,0,free,nan,little,1134,34,business,bad
57,female,2,own,rich,little,10200,60,repairs,bad
38,female,2,rent,little,little,13281,13,car,bad
33,female,1,own,little,nan,9899,15,furniture,good
62,female,2,own,nan,moderate,6593,10,car,good
35,female,0,own,rich,moderate,17184,31,radio/TV,good
64,male,1,own,little,moderate,8641,23,car,good
70,male,1,own,rich,little,18077,68,car,bad
41,male,2,rent,little,little,15321,30,business,good
43,female,0,rent,moderate,nan,8718,19,furniture,good
42,male,2,rent,little,rich,14352,39,repairs,bad
62,female,0,rent,nan,moderate,16687,13,education,bad
58,male,2,free,quite rich,little,413,47,car,good
46,male,0,own,little,little,7048,22,education,bad
32,female,2,rent,moderate,little,13947,68,domestic appliances,bad
62,male,0,own,little,little,19423,65,furniture,bad
18,male,1,rent,little,little,16447,36,radio/TV,bad
42,male,1,rent,moderate,little,4767,40,car,good
24,female,2,own,moderate,little,9695,16,furniture,good
26,male,1,own,little,little,9771,40,radio/TV,good
41,female,2,free,moderate,rich,9427,22,radio/TV,good
18,male,1,own,moderate,rich,11630,69,education,good
61,male,2,own,moderate,little,5609,33,vacation/others,good
25,male,0,own,little,little,16464,35,business,bad
41,male,1,own,little,rich,5902,36,domestic appliances,good
28,female,1,own,little,rich,17714,43,radio/TV,bad
68,male,0,own,little,moderate,5398,18,car,bad
34,female,0,own,moderate,moderate,15019,41,radio/TV,bad
25,female,3,rent,nan,little,2515,11,furniture,good
52,male,3,own,little,rich,1098,42,car,good
52,male,2,own,moderate,rich,8907,63,car,good
50,female,1,own,little,moderate,4911,63,business,good
22,female,1,own,little,nan,7961,59,radio/TV,good
59,male,2,free,moderate,little,4849,21,vacation/others,good
56,male,0,rent,quite rich,little,5911,51,repairs,bad
58,male,3,own,rich,little,13886,24,radio/TV,good
45,male,1,own,quite rich,little,6361,59,car,good
24,male,3,rent,little,rich,5765,15,furniture,good
26,female,1,own,moderate,rich,8860,9,car,good
25,male,2,own,rich,rich,14820,34,radio/TV,good
29,male,0,own,moderate,little,18093,64,business,bad
51,female,2,free,nan,rich,6279,71,business,good
50,male,1,own,little,little,18847,60,car,bad
65,male,2,own,rich,little,17231,64,radio/TV,bad
72,female,2,own,little,moderate,9631,20,education,good
40,male,0,own,moderate,little,13956,32,furniture,bad
41,female,1,own,moderate,nan,12348,70,repairs,good
54,male,1,own,little,little,16174,62,furniture,bad
52,male,1,free,nan,little,12487,6,radio/TV,good
61,male,1,own,little,rich,5778,30,radio/TV,good
57,female,1,own,little,little,296,4,furniture,good
39,female,1,own,rich,little,12370,7,vacation/others,good
44,female,2,rent,little,little,1536,7,business,good
52,female,2,own,little,little,19335,36,business,bad
18,male,1,own,quite rich,little,10390,14,business,bad
52,female,2,rent,quite rich,nan,1192,60,radio/TV,good
54,female,2,own,nan,nan,11143,29,car,good
64,female,1,free,quite rich,moderate,14252,29,business,good
31,male,1,own,rich,little,18924,57,radio/TV,good
20,male,1,own,nan,rich,13392,30,car,good
18,female,2,own,moderate,moderate,17537,57,car,bad
22,female,2,own,little,rich,5702,5,radio/TV,good
43,male,0,rent,quite rich,moderate,19293,12,domestic appliances,good
72,female,2,own,little,nan,17765,67,radio/TV,bad
31,female,1,own,little,rich,2618,68,repairs,good
56,female,0,free,quite rich,rich,8908,24,business,good
44,female,2,rent,nan,little,16013,29,radio/TV,good
26,male,2,own,moderate,little,4307,18,furniture,good
32,male,1,own,little,moderate,14809,46,domestic appliances,bad
32,male,1,own,moderate,little,17769,42,education,good
43,female,3,rent,little,little,9920,19,radio/TV,good
59,female,1,rent,little,nan,4633,38,radio/TV,good
30,male,2,own,moderate,little,5822,26,car,good
68,male,0,own,little,little,14743,15,car,bad
49,male,0,own,little,little,909,59,education,bad
56,female,1,own,rich,little,435,55,repairs,good
66,male,1,rent,quite rich,rich,18710,22,car,good
69,female,2,own,little,rich,18065,65,repairs,bad
49,female,1,own,moderate,rich,13434,11,car,good
21,male,1,own,little,little,17380,14,radio/TV,bad
